0,1,2,3,4,5,6,7,8,9,label
62.0,58.0,79.0,41.0,67.0,45.0,67.0,55.0,56.0,63.0,false
62.0,58.0,31.0,6.0,103.0,7.0,112.0,60.0,56.0,49.0,false
49.0,73.0,89.0,106.0,0.0,112.0,0.0,59.0,56.0,49.0,false
50.0,55.0,42.0,26.0,109.0,21.0,122.0,21.0,75.0,74.0,false
76.0,86.0,101.0,143.0,16.0,159.0,0.0,79.0,81.0,93.0,true
93.0,78.0,62.0,85.0,100.0,74.0,95.0,81.0,84.0,82.0,true
82.0,78.0,54.0,31.0,141.0,21.0,144.0,67.0,83.0,82.0,true
82.0,91.0,104.0,148.0,0.0,174.0,0.0,173.0,91.0,103.0,true
104.0,89.0,122.0,48.0,123.0,57.0,122.0,72.0,88.0,99.0,true
97.0,94.0,105.0,81.0,74.0,89.0,73.0,85.0,79.0,87.0,true
86.0,71.0,100.0,30.0,115.0,35.0,113.0,32.0,70.0,77.0,true
77.0,72.0,89.0,24.0,110.0,31.0,113.0,50.0,77.0,86.0,true
86.0,86.0,102.0,81.0,74.0,99.0,74.0,101.0,90.0,100.0,true
100.0,100.0,119.0,145.0,22.0,159.0,21.0,159.0,88.0,100.0,true
97.0,80.0,52.0,125.0,45.0,116.0,32.0,111.0,66.0,63.0,false
65.0,47.0,24.0,4.0,122.0,0.0,116.0,20.0,57.0,63.0,false
64.0,37.0,19.0,3.0,110.0,0.0,108.0,11.0,53.0,60.0,false
60.0,34.0,85.0,24.0,78.0,25.0,78.0,28.0,50.0,45.0,false
45.0,68.0,18.0,79.0,25.0,77.0,24.0,73.0,51.0,58.0,false
58.0,53.0,74.0,35.0,64.0,38.0,64.0,55.0,51.0,58.0,false
58.0,53.0,74.0,35.0,64.0,39.0,64.0,42.0,51.0,59.0,false
58.0,53.0,66.0,14.0,86.0,16.0,86.0,18.0,51.0,59.0,false
58.0,34.0,84.0,23.0,78.0,25.0,78.0,26.0,51.0,45.0,false
45.0,51.0,38.0,88.0,16.0,87.0,16.0,82.0,51.0,46.0,false
46.0,34.0,85.0,23.0,78.0,25.0,78.0,26.0,51.0,46.0,false
45.0,69.0,85.0,100.0,0.0,106.0,0.0,45.0,53.0,46.0,false
46.0,69.0,85.0,100.0,0.0,106.0,0.0,106.0,53.0,46.0,false
46.0,69.0,18.0,80.0,25.0,79.0,25.0,46.0,52.0,59.0,false
59.0,52.0,68.0,15.0,88.0,16.0,88.0,54.0,52.0,59.0,false
59.0,34.0,18.0,80.0,25.0,79.0,25.0,79.0,52.0,60.0,false
59.0,54.0,68.0,15.0,88.0,16.0,88.0,57.0,51.0,60.0,false
59.0,52.0,29.0,68.0,40.0,65.0,41.0,53.0,53.0,46.0,false
46.0,70.0,18.0,81.0,25.0,79.0,25.0,50.0,52.0,60.0,false
59.0,69.0,18.0,80.0,25.0,79.0,25.0,54.0,53.0,60.0,false
59.0,52.0,38.0,89.0,16.0,88.0,16.0,87.0,52.0,46.0,false
46.0,52.0,29.0,68.0,40.0,65.0,40.0,65.0,52.0,46.0,false
46.0,70.0,18.0,80.0,25.0,78.0,25.0,51.0,52.0,59.0,false
59.0,69.0,18.0,3.0,100.0,0.0,106.0,0.0,53.0,59.0,false
