0,1,2,3,4,5,6,7,8,9,label
53.0,47.0,59.0,71.0,20.0,76.0,20.0,58.0,47.0,54.0,false
54.0,63.0,55.0,85.0,8.0,85.0,0.0,63.0,47.0,40.0,false
40.0,47.0,59.0,71.0,20.0,75.0,20.0,55.0,47.0,54.0,false
53.0,30.0,16.0,2.0,95.0,0.0,95.0,0.0,48.0,54.0,false
53.0,62.0,55.0,85.0,8.0,95.0,0.0,66.0,48.0,40.0,false
40.0,63.0,55.0,85.0,8.0,95.0,0.0,64.0,47.0,40.0,false
39.0,47.0,24.0,62.0,32.0,60.0,32.0,60.0,46.0,40.0,false
40.0,47.0,67.0,88.0,5.0,87.0,4.0,56.0,47.0,53.0,false
53.0,47.0,59.0,12.0,79.0,13.0,79.0,14.0,46.0,53.0,false
53.0,47.0,59.0,72.0,20.0,78.0,20.0,62.0,47.0,53.0,false
53.0,61.0,54.0,84.0,0.0,94.0,0.0,72.0,49.0,42.0,false
43.0,50.0,66.0,83.0,20.0,92.0,20.0,96.0,59.0,66.0,false
67.0,64.0,87.0,54.0,71.0,64.0,72.0,70.0,72.0,80.0,false
81.0,68.0,48.0,11.0,132.0,0.0,152.0,33.0,76.0,72.0,false
71.0,57.0,72.0,16.0,118.0,0.0,140.0,47.0,72.0,81.0,false
82.0,55.0,113.0,45.0,95.0,51.0,94.0,61.0,69.0,64.0,false
64.0,50.0,109.0,43.0,96.0,58.0,97.0,65.0,72.0,65.0,false
65.0,76.0,96.0,64.0,72.0,67.0,72.0,66.0,67.0,73.0,false
72.0,67.0,87.0,52.0,70.0,51.0,68.0,51.0,56.0,62.0,false
61.0,57.0,69.0,15.0,89.0,16.0,87.0,33.0,51.0,59.0,false
59.0,34.0,18.0,3.0,99.0,0.0,105.0,0.0,52.0,58.0,false
58.0,51.0,66.0,14.0,86.0,15.0,85.0,15.0,50.0,58.0,false
57.0,52.0,65.0,78.0,20.0,82.0,20.0,82.0,51.0,57.0,false
57.0,32.0,58.0,91.0,9.0,90.0,9.0,48.0,49.0,43.0,false
43.0,49.0,63.0,14.0,84.0,14.0,83.0,51.0,49.0,56.0,false
56.0,49.0,63.0,13.0,83.0,14.0,83.0,46.0,49.0,58.0,false
58.0,68.0,82.0,22.0,76.0,23.0,75.0,23.0,48.0,42.0,false
43.0,50.0,28.0,68.0,42.0,66.0,45.0,67.0,58.0,53.0,false
56.0,68.0,46.0,111.0,31.0,113.0,34.0,78.0,70.0,64.0,false
65.0,52.0,67.0,15.0,118.0,0.0,137.0,72.0,64.0,71.0,false
72.0,69.0,85.0,102.0,21.0,108.0,20.0,68.0,66.0,73.0,false
73.0,46.0,100.0,31.0,88.0,33.0,85.0,52.0,57.0,52.0,false
52.0,57.0,43.0,105.0,24.0,103.0,24.0,62.0,61.0,56.0,false
56.0,79.0,97.0,114.0,0.0,122.0,0.0,69.0,62.0,57.0,false
58.0,59.0,43.0,102.0,22.0,99.0,20.0,65.0,56.0,50.0,false
50.0,54.0,40.0,94.0,18.0,92.0,17.0,91.0,54.0,49.0,false
48.0,53.0,30.0,6.0,100.0,0.0,109.0,34.0,54.0,47.0,false
47.0,55.0,76.0,37.0,65.0,41.0,65.0,47.0,53.0,60.0,false
59.0,52.0,29.0,68.0,40.0,65.0,40.0,60.0,52.0,46.0,false
46.0,51.0,38.0,24.0,85.0,20.0,85.0,26.0,53.0,45.0,false
45.0,53.0,74.0,97.0,6.0,104.0,0.0,72.0,52.0,58.0,false
58.0,53.0,73.0,35.0,64.0,38.0,64.0,44.0,51.0,58.0,false
58.0,52.0,73.0,35.0,64.0,38.0,64.0,42.0,51.0,58.0,false
57.0,33.0,17.0,2.0,102.0,0.0,102.0,0.0,51.0,57.0,false
57.0,52.0,72.0,34.0,64.0,37.0,64.0,38.0,51.0,57.0,false
57.0,67.0,42.0,8.0,90.0,0.0,101.0,22.0,51.0,57.0,false
57.0,51.0,72.0,34.0,63.0,37.0,63.0,38.0,50.0,57.0,false
57.0,32.0,81.0,21.0,75.0,23.0,75.0,28.0,50.0,43.0,false
43.0,49.0,27.0,65.0,36.0,63.0,36.0,63.0,49.0,43.0,false
43.0,49.0,37.0,84.0,15.0,83.0,14.0,75.0,50.0,43.0,false
43.0,32.0,81.0,21.0,75.0,23.0,75.0,26.0,48.0,43.0,false
42.0,49.0,36.0,84.0,14.0,83.0,14.0,83.0,49.0,43.0,false
42.0,49.0,36.0,84.0,14.0,83.0,14.0,76.0,49.0,42.0,false
42.0,49.0,26.0,64.0,35.0,62.0,35.0,62.0,49.0,42.0,false
42.0,50.0,70.0,32.0,62.0,35.0,62.0,35.0,48.0,56.0,false
